event_id;event_type;session_protocol;channel_id;origin_ip;origin_port;destination;destination_port
181;direct_tcpip_request;ssh;0;127.0.0.1;8082;speedtest.tele2.net;80
232;direct_tcpip_request;ssh;0;190.2.144.219;55586;52.97.188.70;587
309;direct_tcpip_request;ssh;0;127.0.0.1;8082;speedtest.tele2.net;80
370;direct_tcpip_request;ssh;0;127.0.0.1;60546;google.com;443
498;direct_tcpip_request;ssh;0;127.0.0.1;8082;speedtest.tele2.net;80
538;direct_tcpip_request;ssh;0;127.0.0.1;8082;speedtest.tele2.net;80
632;direct_tcpip_request;ssh;0;127.0.0.1;8082;google.com;80
893;direct_tcpip_request;ssh;0;127.0.0.1;8082;google.com;80
895;direct_tcpip_request;ssh;0;127.0.0.1;8082;speedtest.tele2.net;80
1015;direct_tcpip_request;ssh;0;127.0.0.1;8082;speedtest.tele2.net;80
1040;direct_tcpip_request;ssh;0;127.0.0.1;43982;google.com;443
1078;direct_tcpip_request;ssh;0;127.0.0.1;8082;speedtest.tele2.net;80
1083;direct_tcpip_request;ssh;0;0.0.0.0;0;64.233.164.26;25
1085;direct_tcpip_request;ssh;0;0.0.0.0;0;64.233.164.26;25
1087;direct_tcpip_request;ssh;0;0.0.0.0;0;64.233.164.26;25
1089;direct_tcpip_request;ssh;0;0.0.0.0;0;64.233.164.26;25
1091;direct_tcpip_request;ssh;0;0.0.0.0;0;64.233.164.26;25
1093;direct_tcpip_request;ssh;0;0.0.0.0;0;64.233.164.26;25
1095;direct_tcpip_request;ssh;0;0.0.0.0;0;64.233.164.26;25
1125;direct_tcpip_request;ssh;0;127.0.0.1;41008;google.com;443
1145;direct_tcpip_request;ssh;0;127.0.0.1;8082;speedtest.tele2.net;80
1175;direct_tcpip_request;ssh;0;127.0.0.1;8082;google.com;80
1212;direct_tcpip_request;ssh;0;127.0.0.1;45486;google.com;443
1292;direct_tcpip_request;ssh;0;127.0.0.1;8082;speedtest.tele2.net;80
1294;direct_tcpip_request;ssh;0;127.0.0.1;8082;speedtest.tele2.net;80
1450;direct_tcpip_request;ssh;0;127.0.0.1;8082;speedtest.tele2.net;80
1471;direct_tcpip_request;ssh;0;127.0.0.1;57760;172.217.10.206;80
1566;direct_tcpip_request;ssh;0;127.0.0.1;44170;google.com;443
1664;direct_tcpip_request;ssh;0;127.0.0.1;48234;google.com;443
1711;direct_tcpip_request;ssh;0;127.0.0.1;8082;speedtest.tele2.net;80
1717;direct_tcpip_request;ssh;0;0.0.0.0;0;64.233.164.26;25
1719;direct_tcpip_request;ssh;0;0.0.0.0;0;64.233.164.26;25
1721;direct_tcpip_request;ssh;0;0.0.0.0;0;64.233.164.26;25
1759;direct_tcpip_request;ssh;0;0.0.0.0;0;64.233.164.26;25
1761;direct_tcpip_request;ssh;0;0.0.0.0;0;64.233.164.26;25
1763;direct_tcpip_request;ssh;0;0.0.0.0;0;64.233.164.26;25
1765;direct_tcpip_request;ssh;0;0.0.0.0;0;64.233.164.26;25
1772;direct_tcpip_request;ssh;0;0.0.0.0;0;64.233.164.26;25
1774;direct_tcpip_request;ssh;0;0.0.0.0;0;64.233.164.26;25
1778;direct_tcpip_request;ssh;0;0.0.0.0;0;64.233.164.26;25
1780;direct_tcpip_request;ssh;0;0.0.0.0;0;64.233.164.26;25
1782;direct_tcpip_request;ssh;0;0.0.0.0;0;64.233.164.26;25
1784;direct_tcpip_request;ssh;0;0.0.0.0;0;64.233.164.26;25
1786;direct_tcpip_request;ssh;0;0.0.0.0;0;64.233.164.26;25
1788;direct_tcpip_request;ssh;0;0.0.0.0;0;64.233.164.26;25
1790;direct_tcpip_request;ssh;0;0.0.0.0;0;64.233.164.26;25
1792;direct_tcpip_request;ssh;0;0.0.0.0;0;64.233.164.26;25
1794;direct_tcpip_request;ssh;0;0.0.0.0;0;64.233.164.26;25
1796;direct_tcpip_request;ssh;0;0.0.0.0;0;64.233.164.27;25
1798;direct_tcpip_request;ssh;0;0.0.0.0;0;64.233.164.27;25
1800;direct_tcpip_request;ssh;0;0.0.0.0;0;64.233.164.27;25
1803;direct_tcpip_request;ssh;0;0.0.0.0;0;64.233.164.27;25
1805;direct_tcpip_request;ssh;0;0.0.0.0;0;64.233.164.27;25
1809;direct_tcpip_request;ssh;0;127.0.0.1;8082;speedtest.tele2.net;80
